SYSTEM_SITE,Y_LAT,X_LONGT
AMAI CREEK,50.02348098,-127.0772848
ARTLISH RIVER,50.1150961,-127.0875277
BATTLE BAY RIVER,50.1213242,-127.5867074
BRITISH CREEK,50.05320563,-127.2878126
CACHALOT CREEK,49.99797765,-127.1648176
CANOE PASS CREEK,48.95771823,-125.2190425
CARNATION CREEK,48.91360195,-125.0037843
CASS CREEK,49.00551757,-125.0043534
CATARACT CREEK,49.01649677,-125.2779667
CHAMISS CREEK,50.07917039,-127.2889006
CLANNINICK CREEK,50.04141744,-127.4114013
CLEMENS CREEK,49.13563333,-125.137861
COEUR D'ALENE CREEK,49.04569594,-125.1381025
COLEMAN CREEK,49.00626566,-124.8577044
CONSINKA CREEK,48.9359891,-124.9816979
DUTCH HARBOUR CREEK EAST,48.96552574,-125.2718441
DUTCH HARBOUR CREEK WEST,48.96799817,-125.2846246
EASY CREEK,50.12821162,-127.3111755
EFFINGHAM RIVER,49.09534128,-125.200767
ELAINE CREEK,50.12125435,-127.2985649
FREDERICK CREEK,48.89171327,-124.9975334
HENDERSON LAKE,49.0283341,-125.0511539
HILLIER CREEK,48.95535719,-125.5506561
HOLFORD CREEK,48.93582388,-125.0843822
ITATSOO CREEK,48.92720166,-125.5041153
JANSEN LAKE CREEK,50.11891865,-127.2944509
KAOUK RIVER,50.0635084,-127.0985149
KAPOOSE CREEK,49.94823143,-127.2208981
KASHUTL RIVER,50.19495862,-127.3098438
KAUWINCH RIVER,50.14450885,-127.2707541
KLANAWA RIVER,48.69869714,-124.9476867
LITTLE MAGGIE RIVER,48.97821828,-125.3941865
LITTLE TOQUART CREEK,49.04107712,-125.3609243
LOST SHOE CREEK,49.0028941,-125.6399383
LUCKY CREEK,49.02744374,-125.3054012
MAGGIE RIVER,48.98495147,-125.3934898
MALKSOPE RIVER,50.13851576,-127.4228266
MCKAY COVE CREEK,50.04586667,-127.3493366
MERCANTILE CREEK,48.96298492,-125.5584854
NAHMINT RIVER,49.06233209,-124.8844262
NARROWGUT CREEK,49.99654491,-127.1230943
NASPARTI RIVER,50.19204732,-127.6082663
OUOUKINSH RIVER,50.1871283,-127.4340013
PACHENA RIVER,48.79845705,-125.127194
PIPESTEAM CREEK,49.03768332,-125.2005414
POETT NOOK CREEK,48.87689009,-125.0526596
PORRITT CREEK,49.92451266,-127.2031236
POWER RIVER,50.17997736,-127.4797426
RITHERDON CREEK,48.95270362,-124.9759819
SANDHILL CREEK,49.03245499,-125.6872034
SARITA RIVER,48.89706946,-125.0169178
SECHART CREEK,48.95492678,-125.2489045
SILBURN CREEK,50.14984396,-127.124784
SMITH CREEK,48.97802314,-125.5744113
SNUG BASIN CREEK,49.02521424,-125.0236787
SOATWOON CREEK,50.02827202,-127.1093748
SUGSAW CREEK,48.83769727,-125.1061741
TAHSISH RIVER,50.13979892,-127.1051293
THORNTON CREEK,48.96665653,-125.5628815
TOQUART RIVER,49.0357038,-125.3574806
TWIN RIVERS,48.95056799,-125.4462046
TWIN RIVERS EAST CREEK,48.95154283,-125.4435209
TWIN RIVERS WEST CREEK,48.94810479,-125.4464946
UCHUCK CREEK,49.01458835,-125.0512461
USELESS CREEK,48.99736397,-125.052605
VERNON BAY CREEK,49.00818083,-125.1410083
WALLACE CREEK,49.05219516,-125.1679072
YAKU RIVER,50.10528899,-127.1577407
DRAW CREEK,49.01890509,-125.4374075
